Year,LPUE_Vigo,Total_Catch,FR-IE-IBTS,SPPGFS,MON,MON2,Effort_Vigo
1986,286,24981,NA,NA,NA,NA,6875
1987,235,23091,NA,NA,NA,NA,6662
1988,182,21314,NA,NA,NA,NA,6547
1989,210,24015,NA,NA,NA,NA,7585
1990,206,20982,NA,NA,NA,NA,8021
1991,184,16763,NA,NA,NA,NA,7822
1992,188,13617,NA,NA,NA,NA,6370
1993,268,14895,NA,NA,NA,NA,5988
1994,289,17201,NA,NA,NA,NA,5655
1995,410,21033,NA,NA,NA,NA,5070
1996,520,23333,NA,NA,NA,NA,5416
1997,440,22983,NA,NA,NA,NA,5058
1998,451,20474,NA,NA,NA,NA,5360
1999,428,18792,NA,NA,NA,NA,5084
2000,203,14451,NA,NA,NA,NA,5519
2001,239,17294,NA,4.755242528,NA,NA,5678
2002,469,22083.00977,NA,2.690097646,NA,NA,5041
2003,598,30444.28026,3.673199546,4.174245434,NA,NA,5437
2004,563,31438.55748,6.79702777,5.714914846,NA,NA,5347
2005,591,29979.69745,4.264153276,3.155157281,NA,NA,5246
2006,568,28544.74607,3.197822711,3.343158157,30.69386238,NA,5392
2007,611,32029.36583,2.438760321,3.011918143,30.07159196,NA,5812
2008,466,28045.99415,3.971569369,2.473165221,NA,NA,5432
2009,350,23912.94546,4.11410707,2.952439944,NA,NA,5155
2010,298,24886.45622,4.834202248,3.384758006,NA,NA,4843
2011,417,26488.9268,5.294759755,2.515204458,NA,NA,4553
2012,599,30518.73848,3.975952777,3.595543229,NA,NA,3276
2013,649,32295.32918,3.552237529,5.030601904,NA,NA,2683
2014,683,30333.10026,5.309578058,6.29876172,NA,NA,1530
2015,815,30182.97655,4.316331914,5.016214431,89.72442943,89.72442943,1395
2016,726,32667.68897,4.654305784,5.181962055,74.3683549,74.3683549,1103
2017,572,27808.41195,,6.007491769,53.81177032,53.81177032,1145
2018,647,23594.61817,6.48792202,4.296757971,58.95601664,58.95601664,908
2019,476,22709.95325,6.435634005,4.126530584,41.91891553,41.91891553,762
